city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id,scans
Accra,Accra,5.55,-0.2,Ghana,GH,GHA,Greater Accra,primary,2388000,1288299415,360
Addis Ababa,Addis Ababa,9.03,38.74,Ethiopia,ET,ETH,Ādīs Ābeba,primary,3041002,1231824991,185
Blantyre,Blantyre,-15.7861,35.0058,Malawi,MW,MWI,Blantyre,admin,1895973,1454145012,353
Bonn,Bonn,50.44,7.6,Germany,,DEU,,,327258,,131
Cape Town,Cape Town,-33.9253,18.4239,South Africa,ZA,ZAF,Western Cape,primary,433688,1710680650,898
Dhaka,Dhaka,23.7639,90.3889,Bangladesh,BD,BGD,Dhaka,primary,18627000,1050529279,141
Gaborone,Gaborone,-24.6581,25.9122,Botswana,BW,BWA,Gaborone,primary,231626,1072756768,25
Harare,Harare,-17.8292,31.0522,Zimbabwe,ZW,ZWE,Harare,primary,2150000,1716196799,1
Kampala,Kampala,0.3136,32.5811,Uganda,UG,UGA,Kampala,primary,1680600,1800406299,236
Karachi,Karachi,24.86,67.01,Pakistan,PK,PAK,Sindh,admin,15738000,1586129469,178
Kintampo,Kintampo,8.0522,-1.7,Ghana,GH,GHA,Bono East,,111000,1288911745,89
Kisumu,Kisumu,-0.0833,34.7667,Kenya,KE,KEN,Kisumu,admin,409928,1404511920,59
London,London,51.5072,-0.1275,United Kingdom,GB,GBR,"London, City of",primary,11262000,1826645935,230
Lucknow,Lucknow,26.85,80.95,India,IN,IND,Uttar Pradesh,admin,3382000,1356891790,0
Lusaka,Lusaka,-15.4167,28.2833,Zambia,ZM,ZMB,Lusaka,primary,2467563,1894157390,105
Nairobi,Nairobi,-1.2864,36.8172,Kenya,KE,KEN,Nairobi City,primary,5545000,1404000661,0
Pretoria,Pretoria,-25.7461,28.1881,South Africa,ZA,ZAF,Gauteng,primary,741651,1710176249,0
Vellore,Vellore,12.9,79.13,India,,,,,687981,,6
Zomba,Zomba,-15.3833,35.3333,Malawi,MW,MWI,Zomba,admin,101140,1454072947,918
